instance,theta,run,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol,runtime_sec,status
test_data\data_demand_random\30\C201_0.5.dat,1,1,415.0,"[[[[0, [3, 16, 1, 5, 13, 19, 18, 14]], [5, []], [2, [2, 4, 7]], [7, []], [3, []], [4, []], [1, []], [12, [12, 17, 15, 8]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [9, [9]], [8, []]], [[0, [28, 26, 30, 23, 21, 22]], [22, []], [27, [27, 24, 20]], [24, []], [29, [29]], [6, [6, 25, 10]], [30, []], [28, []], [26, []], [23, []], [25, []], [11, [11]], [10, []], [21, []], [20, []]]], [[[2, [2]]], [[2, [4, 7]]], [[27, [27, 24, 20]]], [[29, [29]]], [[6, [6, 25, 10]]], [[11, [11]]], [[12, [15, 8]]], [[12, [12, 17]]], [[9, [9]]]]]",,None,306.725,OK
test_data\data_demand_random\30\C201_0.5.dat,1,2,421.6155281280883,"[[[[0, [5, 13]], [5, [1]], [2, [2, 4, 7]], [7, []], [4, []], [3, [3]], [1, []], [13, []], [15, [15, 6, 24]], [17, [17, 25]], [25, []], [6, []], [29, [29]], [24, []]], [[0, [18, 23, 26, 28, 30, 14, 10, 9, 19, 22]], [8, [8, 16]], [10, []], [11, [11]], [9, []], [12, [12, 21, 27, 20]], [14, []], [16, []], [19, []], [18, []], [23, []], [26, []], [28, []], [30, []], [27, []], [21, []], [22, []], [20, []]]], [[[5, [1]]], [[2, [2]]], [[2, [4, 7]]], [[3, [3]]], [[8, [8, 16]]], [[11, [11]]], [[12, [12, 21, 27, 20]]], [[15, [15, 6, 24]]], [[17, [17, 25]]], [[29, [29]]]]]",,None,279.314,OK
test_data\data_demand_random\30\C201_0.5.dat,1,3,420.0,"[[[[0, [26, 17, 15, 28, 14, 16, 19, 23, 30, 22, 18, 13]], [30, []], [28, []], [26, []], [23, []], [18, []], [17, []], [14, []], [12, [12, 25, 27]], [16, []], [15, []], [19, []], [13, []], [25, []], [27, []], [22, []]], [[0, [5, 1]], [4, [4]], [3, [3, 7, 6]], [7, []], [1, []], [2, [2, 10, 24, 20, 8, 21]], [5, []], [8, []], [10, []], [11, [11, 9]], [9, []], [21, []], [6, []], [29, [29]], [24, []], [20, []]]], [[[4, [4]]], [[3, [3]]], [[3, [7, 6]]], [[2, [2]]], [[2, [10, 24]]], [[2, [20, 8, 21]]], [[11, [11]]], [[11, [9]]], [[12, [12, 25, 27]]], [[29, [29]]]]]",,None,341.238,OK
test_data\data_demand_random\30\C201_0.5.dat,1,4,404.0,"[[[[0, [5, 1]], [5, []], [2, [2, 4, 10]], [4, []], [3, [3]], [7, [7, 6, 21]], [1, []], [11, [11, 25, 20, 24]], [10, []], [25, []], [29, [29]], [6, []], [24, []], [21, []], [20, []]], [[0, [13, 19, 15, 18, 9, 17, 16, 28, 23, 26, 30, 22, 14, 27]], [8, [8, 12]], [9, []], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [23, []], [26, []], [28, []], [30, []], [27, []], [22, []]]], [[[2, [4, 10]]], [[2, [2]]], [[3, [3]]], [[8, [8, 12]]], [[7, [7, 6, 21]]], [[11, [11]]], [[11, [25, 20, 24]]], [[29, [29]]]]]",,None,437.973,OK
test_data\data_demand_random\30\C201_0.5.dat,1,5,422.0,"[[[[0, [1, 5]], [5, []], [4, [7, 4, 10]], [3, [3]], [7, []], [1, []], [2, [2, 25, 8, 6]], [10, []], [8, []], [11, [11]], [9, [9]], [25, []], [6, []], [29, [29]], [24, [24]]], [[0, [14, 17, 19, 18, 13, 26, 28, 16, 23, 12, 15, 30, 22]], [22, []], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [30, []], [27, [27, 21, 20]], [21, []], [20, []]]], [[[4, [10]]], [[4, [7, 4]]], [[3, [3]]], [[2, [2]]], [[2, [25, 8, 6]]], [[27, [27, 21, 20]]], [[11, [11]]], [[9, [9]]], [[29, [29]]], [[24, [24]]]]]",,None,277.639,OK
test_data\data_demand_random\30\C201_0.5.dat,2,1,408.0,"[[[[0, [2, 11, 1, 5]], [5, []], [7, [7, 4]], [3, [3]], [4, []], [1, []], [2, []], [11, []], [10, [10]], [25, [25, 24]], [29, [29, 20, 6, 21]], [6, []], [24, []], [21, []], [20, []]], [[0, [14, 16, 22, 28, 26, 30, 9, 27, 15, 17, 13, 18, 19, 23]], [8, [8, 12]], [9, []], [12, []], [14, []], [16, []], [15, []], [13, []], [17, []], [18, []], [19, []], [23, []], [26, []], [28, []], [30, []], [27, []], [22, []]]], [[[8, [8, 12]]], [[7, [7, 4]]], [[3, [3]]], [[10, [10]]], [[25, [25, 24]]], [[29, [29]]], [[29, [20, 6, 21]]]]]",,None,440.63,OK
test_data\data_demand_random\30\C201_0.5.dat,2,2,424.0,"[[[[0, [23, 26, 28, 13]], [21, [21, 8, 10, 6]], [8, []], [10, []], [11, [11]], [2, [2]], [9, [9, 25]], [13, []], [25, []], [23, []], [26, []], [28, []], [6, []], [29, [29, 20, 24]], [24, []], [20, []]], [[0, [7, 5, 4, 1, 14, 30, 22, 19, 18, 3, 17, 16]], [5, []], [4, []], [3, []], [7, []], [1, []], [12, [12, 15, 27]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [30, []], [27, []], [22, []]]], [[[12, [12, 15, 27]]], [[21, [8, 10]]], [[21, [21, 6]]], [[11, [11]]], [[2, [2]]], [[9, [9, 25]]], [[29, [29]]], [[29, [20, 24]]]]]",,None,493.923,OK
test_data\data_demand_random\30\C201_0.5.dat,2,3,420.0,"[[[[0, [28, 26, 19, 23, 30, 15, 21, 9, 14, 16, 13, 18, 22]], [22, []], [30, []], [28, []], [26, []], [23, []], [18, []], [16, []], [14, []], [12, [12, 17]], [15, []], [19, []], [17, []], [13, []], [9, []], [21, []]], [[0, [5, 29]], [5, [1]], [4, [20, 4, 10]], [3, [3]], [7, [7, 6]], [1, []], [2, [2]], [11, [11]], [10, []], [8, [8, 25, 27]], [25, []], [6, []], [29, []], [24, [24]], [27, []], [20, []]]], [[[5, [1]]], [[4, [20, 4, 10]]], [[3, [3]]], [[7, [7, 6]]], [[2, [2]]], [[11, [11]]], [[8, [8, 25, 27]]], [[24, [24]]], [[12, [12, 17]]]]]",464.0,"[[[[0, [28, 26, 30, 22, 23, 14, 18, 6, 19, 16, 8]], [22, []], [27, [27, 12, 15]], [6, []], [30, []], [28, []], [26, []], [23, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [9, [9, 21]], [21, []], [8, []]], [[0, [5, 4, 13]], [29, [29, 1]], [24, [24, 17, 7, 20]], [25, [25, 10]], [17, []], [13, []], [11, [11]], [1, []], [7, []], [3, [3]], [4, []], [2, [2]], [5, []], [10, []], [20, []]]], [[[29, [1]]], [[29, [29]]], [[24, [17]]], [[27, [27, 12, 15]], [24, [20]]], [[24, [24, 7]]], [[25, [25, 10]]], [[11, [11]]], [[9, [9, 21]]], [[3, [3]]], [[2, [2]]]]]",838.429,OK
test_data\data_demand_random\30\C201_0.5.dat,2,4,413.0,"[[[[0, [5, 2, 1]], [5, [7, 4]], [2, []], [7, []], [3, [3]], [4, []], [1, []], [10, [10, 27, 6]], [8, [8, 21]], [21, []], [27, []], [6, []], [29, [29]], [24, [24]]], [[0, [18, 14, 16, 13, 17, 19, 23, 26, 28, 30, 9, 20, 22]], [11, [11]], [9, []], [12, [12, 15, 25]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [25, []], [23, []], [26, []], [28, []], [30, []], [22, []], [20, []]]], [[[5, [7, 4]]], [[3, [3]]], [[11, [11]]], [[12, [12, 15, 25]]], [[10, [10, 27, 6]]], [[8, [8, 21]]], [[29, [29]]], [[24, [24]]]]]",442.0,"[[[[0, [3, 7, 4, 10, 9, 5, 30, 2, 1]], [11, [11]], [2, []], [1, []], [7, []], [4, []], [3, []], [5, []], [10, []], [9, []], [21, [21]], [30, []], [29, [29, 27, 24]], [27, []], [24, []]], [[0, [18, 19, 23, 26, 28, 22, 16, 13, 14]], [8, [8, 15]], [13, []], [17, [17, 6, 25, 20, 12]], [18, []], [19, []], [15, []], [16, []], [12, []], [14, []], [25, []], [23, []], [26, []], [28, []], [6, []], [22, []], [20, []]]], [[[11, [11]]], [[8, [8, 15]]], [[17, [6, 25, 20]], [21, [21]]], [[17, [17, 12]]], [[29, [29]]], [[29, [27, 24]]]]]",532.801,OK
test_data\data_demand_random\30\C201_0.5.dat,2,5,413.0,"[[[[0, [28, 26, 30, 18, 22, 13, 23, 17, 14, 9, 16]], [22, []], [30, []], [28, []], [26, []], [23, []], [18, []], [19, [19]], [14, []], [12, [12, 15, 20, 21]], [16, []], [15, []], [17, []], [13, []], [9, []], [21, []], [20, []]], [[0, [1, 5]], [5, []], [2, [2, 7, 24, 4, 10]], [1, []], [7, []], [3, [3, 25, 27, 8]], [4, []], [11, [11]], [10, []], [8, []], [25, []], [27, []], [29, [29]], [6, [6]], [24, []]]], [[[2, [2]]], [[2, [4, 10]]], [[2, [7, 24]]], [[3, [3]]], [[19, [19]]], [[3, [25, 27, 8]]], [[11, [11]]], [[12, [12, 15, 20, 21]]], [[29, [29]]], [[6, [6]]]]]",,None,565.098,OK
