seg,iter,div_round,nid,fit_cur,fit_best_global,fit_best_segment,improved,multi_visit,best_multi_fit
0,0,0,0,412,412,412,0,0,inf
0,1,0,2,412,412,412,0,0,inf
0,2,0,2,412,412,412,0,0,inf
0,3,0,1,412,412,412,0,0,inf
0,4,0,1,412,412,412,0,0,inf
0,5,0,2,400,400,400,1,0,inf
0,6,0,0,380,380,380,1,0,inf
0,7,0,2,380,380,380,0,0,inf
0,8,0,0,379.763,379.763,379.763,1,0,inf
0,9,0,2,379.763,379.763,379.763,0,0,inf
0,10,0,2,379.763,379.763,379.763,0,0,inf
0,11,0,2,399.763,379.763,379.763,0,0,inf
0,12,0,2,402,379.763,379.763,0,0,inf
0,13,0,0,379.763,379.763,379.763,0,0,inf
0,14,0,2,398,379.763,379.763,0,0,inf
0,15,0,2,379.763,379.763,379.763,0,0,inf
0,16,0,0,379.763,379.763,379.763,0,0,inf
0,17,0,2,379.763,379.763,379.763,0,0,inf
0,18,0,2,379.763,379.763,379.763,0,0,inf
0,19,0,1,376.647,376.647,376.647,1,1,376.647
0,20,0,2,376.647,376.647,376.647,0,1,376.647
0,21,0,1,376.647,376.647,376.647,0,1,376.647
0,22,0,1,380,376.647,376.647,0,1,376.647
0,23,0,2,376.647,376.647,376.647,0,1,376.647
0,24,0,2,384,376.647,376.647,0,1,376.647
0,25,0,2,396.647,376.647,376.647,0,1,376.647
0,26,0,2,404.647,376.647,376.647,0,1,376.647
0,27,0,1,380,376.647,376.647,0,1,376.647
0,28,0,0,380,376.647,376.647,0,1,376.647
0,29,0,1,384.647,376.647,376.647,0,1,376.647
0,30,0,1,388,376.647,376.647,0,1,376.647
0,31,0,1,388,376.647,376.647,0,1,376.647
0,32,0,2,404.647,376.647,376.647,0,1,376.647
0,33,0,2,376.647,376.647,376.647,0,1,376.647
0,34,0,0,380,376.647,376.647,0,1,376.647
0,35,0,0,380,376.647,376.647,0,1,376.647
1,0,0,1,376.647,376.647,376.647,0,1,376.647
1,1,0,1,380,376.647,376.647,0,1,376.647
1,2,0,2,376.647,376.647,376.647,0,1,376.647
1,3,0,0,376.647,376.647,376.647,0,1,376.647
1,4,0,2,376.647,376.647,376.647,0,1,376.647
1,5,0,0,376.647,376.647,376.647,0,1,376.647
1,6,0,0,380,376.647,376.647,0,1,376.647
1,7,0,1,381.647,376.647,376.647,0,1,376.647
1,8,0,1,376.647,376.647,376.647,0,1,376.647
1,9,0,0,380,376.647,376.647,0,1,376.647
1,10,0,2,376.647,376.647,376.647,0,1,376.647
1,11,0,0,380,376.647,376.647,0,1,376.647
1,12,0,1,384.647,376.647,376.647,0,1,376.647
1,13,0,1,384.647,376.647,376.647,0,1,376.647
1,14,0,0,384,376.647,376.647,0,1,376.647
1,15,0,0,376.647,376.647,376.647,0,1,376.647
1,16,0,2,376.647,376.647,376.647,0,1,376.647
1,17,0,0,384.647,376.647,376.647,0,1,376.647
2,0,0,2,376.647,376.647,376.647,0,1,376.647
2,1,0,0,376.647,376.647,376.647,0,1,376.647
2,2,0,0,379,376.647,376.647,0,1,376.647
2,3,0,1,376.647,376.647,376.647,0,1,376.647
2,4,0,1,380,376.647,376.647,0,1,376.647
2,5,0,0,380,376.647,376.647,0,1,376.647
2,6,0,0,380,376.647,376.647,0,1,376.647
2,7,0,1,381.647,376.647,376.647,0,1,376.647
2,8,0,1,381.647,376.647,376.647,0,1,376.647
2,9,0,2,376.647,376.647,376.647,0,1,376.647
2,10,0,1,384.647,376.647,376.647,0,1,376.647
2,11,0,0,380,376.647,376.647,0,1,376.647
2,12,0,1,384.647,376.647,376.647,0,1,376.647
2,13,0,1,388,376.647,376.647,0,1,376.647
2,14,0,1,388,376.647,376.647,0,1,376.647
2,15,0,0,384,376.647,376.647,0,1,376.647
3,0,0,0,376.647,376.647,376.647,0,1,376.647
3,1,0,2,376.647,376.647,376.647,0,1,376.647
3,2,0,2,376.647,376.647,376.647,0,1,376.647
3,3,0,0,379,376.647,376.647,0,1,376.647
3,4,0,1,376.647,376.647,376.647,0,1,376.647
3,5,0,0,380,376.647,376.647,0,1,376.647
3,6,0,0,380,376.647,376.647,0,1,376.647
3,7,0,1,380,376.647,376.647,0,1,376.647
3,8,0,0,380,376.647,376.647,0,1,376.647
3,9,0,1,381.647,376.647,376.647,0,1,376.647
3,10,0,1,381.647,376.647,376.647,0,1,376.647
3,11,0,1,384.647,376.647,376.647,0,1,376.647
3,12,0,1,384.647,376.647,376.647,0,1,376.647
3,13,0,1,388,376.647,376.647,0,1,376.647
3,14,0,2,376.647,376.647,376.647,0,1,376.647
3,15,0,0,384,376.647,376.647,0,1,376.647
3,16,0,0,384,376.647,376.647,0,1,376.647
3,17,0,0,384.647,376.647,376.647,0,1,376.647
4,0,0,2,376.647,376.647,376.647,0,1,376.647
4,1,0,0,376.647,376.647,376.647,0,1,376.647
4,2,0,1,376.647,376.647,376.647,0,1,376.647
4,3,0,2,376.647,376.647,376.647,0,1,376.647
4,4,0,1,380,376.647,376.647,0,1,376.647
4,5,0,2,376.647,376.647,376.647,0,1,376.647
4,6,0,1,381.647,376.647,376.647,0,1,376.647
4,7,0,0,379,376.647,376.647,0,1,376.647
4,8,0,1,381.647,376.647,376.647,0,1,376.647
4,9,0,0,380,376.647,376.647,0,1,376.647
4,10,0,0,380,376.647,376.647,0,1,376.647
4,11,0,2,376.647,376.647,376.647,0,1,376.647
4,12,0,2,376.647,376.647,376.647,0,1,376.647
4,13,0,2,388,376.647,376.647,0,1,376.647
-1,-1,0,-1,376.647,376.647,376.647,0,1,376.647
0,0,1,0,376.647,376.647,376.647,0,1,376.647
0,1,1,0,379,376.647,376.647,0,1,376.647
0,2,1,2,376.647,376.647,376.647,0,1,376.647
0,3,1,1,376.647,376.647,376.647,0,1,376.647
0,4,1,2,376.647,376.647,376.647,0,1,376.647
0,5,1,0,380,376.647,376.647,0,1,376.647
0,6,1,1,380,376.647,376.647,0,1,376.647
0,7,1,2,376.647,376.647,376.647,0,1,376.647
0,8,1,1,381.647,376.647,376.647,0,1,376.647
0,9,1,2,376.647,376.647,376.647,0,1,376.647
0,10,1,1,381.647,376.647,376.647,0,1,376.647
0,11,1,2,376.647,376.647,376.647,0,1,376.647
0,12,1,1,384.647,376.647,376.647,0,1,376.647
0,13,1,2,391.647,376.647,376.647,0,1,376.647
1,0,1,2,376.647,376.647,376.647,0,1,376.647
1,1,1,0,376.647,376.647,376.647,0,1,376.647
1,2,1,2,376.647,376.647,376.647,0,1,376.647
1,3,1,0,379,376.647,376.647,0,1,376.647
1,4,1,1,376.647,376.647,376.647,0,1,376.647
1,5,1,0,380,376.647,376.647,0,1,376.647
1,6,1,2,376.647,376.647,376.647,0,1,376.647
1,7,1,0,380,376.647,376.647,0,1,376.647
